station_id,station_name,metro_line,routes,latitude,longitude,station_type
236,Noida Sec-59,Blue Line,"[5, 23]",28.609089,77.372955,Normal
237,Noida Sec-62,Blue Line,"[5, 23]",28.616991,77.373611,Normal
238,Noida Electronic City,Blue Line,"[5, 23]",28.628685,77.375229,Terminal
78,Laxmi Nagar,Blue Line,"[24, 6]",28.629843,77.276428,Normal
77,Nirman Vihar,Blue Line,"[24, 6]",28.637049,77.287872,Normal
76,Preet Vihar,Blue Line,"[24, 6]",28.641352,77.295158,Normal
75,Karkarduma,Blue Line,"[24, 11, 29, 6]",28.648653,77.304581,Interchange
74,Anand Vihar,Blue Line,"[24, 11, 29, 6]",28.647005,77.316185,Interchange
73,Kaushambi,Blue Line,"[24, 6]",28.645428,77.322273,Normal
72,Vaishali,Blue Line,"[24, 6]",28.650059,77.337608,Terminal
100,Kirti Nagar,Green Line,"[5, 6, 7, 23, 24, 25]",28.655773,77.148499,Terminal/Interchange
35,Satguru Ram Singh Marg,Green Line,"[25, 7]",28.662188,77.157829,Normal
34,Ashok Park Main,Green Line,"[8, 25, 26, 7]",28.671572,77.155159,Normal
33,Punjabi Bagh,Green Line,"[8, 25, 26, 7]",28.672943,77.146011,Normal
32,Shivaji Park,Green Line,"[8, 25, 26, 7]",28.674965,77.128258,Normal
31,Madipur,Green Line,"[8, 25, 26, 7]",28.676418,77.117294,Normal
30,Paschim Vihar (East),Green Line,"[8, 25, 26, 7]",28.677305,77.112251,Normal
29,Paschim Vihar (West),Green Line,"[8, 25, 26, 7]",28.678539,77.102119,Normal
28,Peera Garhi,Green Line,"[8, 25, 26, 7]",28.67972,77.092491,Normal
27,Udyog Nagar,Green Line,"[8, 25, 26, 7]",28.681047,77.078674,Normal
26,Maharaja Surajmal Stadium,Green Line,"[8, 25, 26, 7]",28.681833,77.073891,Normal
25,Nangloi,Green Line,"[8, 25, 26, 7]",28.682356,77.064728,Normal
24,Nangloi Railway Station,Green Line,"[8, 25, 26, 7]",28.682091,77.05619,Normal
23,Rajdhani Park,Green Line,"[8, 25, 26, 7]",28.682217,77.043869,Normal
22,Mundka,Green Line,"[8, 25, 26, 7]",28.682411,77.028282,Normal
196,Mundka Industrial Area (M.I.A),Green Line,"[8, 25, 26, 7]",28.68396,76.989822,Normal
197,Ghevra Metro station,Green Line,"[8, 25, 26, 7]",28.685289,76.993584,Normal
198,Tikri Kalan,Green Line,"[8, 25, 26, 7]",28.686899,76.977249,Normal
199,Tikri Border,Green Line,"[8, 25, 26, 7]",28.687876,76.963783,Normal
200,Pandit Shree Ram Sharma,Green Line,"[8, 25, 26, 7]",28.689213,76.951088,Normal
201,Bahadurgarh City,Green Line,"[8, 25, 26, 7]",28.690784,76.935265,Normal
202,Brigadier Hoshiyar Singh,Green Line,"[8, 25, 26, 7]",28.697428,76.919128,Terminal
13,Inderlok,Green Line,"[0, 1, 8, 18, 19, 26]",28.673452,77.170235,Terminal/Interchange
8,Kashmere Gate,Violet Line,"[0, 1, 2, 3, 9, 10, 18, 19, 20, 21, 27, 28]",28.667879,77.228012,Terminal/Interchange
160,Lal Quila,Violet Line,"[9, 10, 27, 28]",28.657576,77.236595,Normal
159,Jama Masjid,Violet Line,"[9, 10, 27, 28]",28.650393,77.237556,Normal
158,Delhi Gate,Violet Line,"[9, 10, 27, 28]",28.640488,77.240303,Normal
122,ITO,Violet Line,"[9, 10, 27, 28]",28.627205,77.240952,Normal
92,Mandi House,Violet Line,"[5, 6, 9, 10, 23, 24, 27, 28]",28.625816,77.234726,Interchange
123,Janpath,Violet Line,"[9, 10, 27, 28]",28.627817,77.218956,Normal
52,Central Secretariat,Violet Line,"[2, 3, 9, 10, 20, 21, 27, 28]",28.614973,77.212029,Interchange
124,Khan Market,Violet Line,"[9, 10, 27, 28]",28.602682,77.228096,Normal
125,Jawahar Lal Nehru Stadium,Violet Line,"[9, 10, 27, 28]",28.590475,77.23307,Normal
126,Jangpura,Violet Line,"[9, 10, 27, 28]",28.583231,77.239662,Normal
127,Lajpat Nagar,Violet Line,"[9, 10, 11, 27, 28, 29]",28.570705,77.233124,Interchange
128,Moolchand,Violet Line,"[9, 10, 27, 28]",28.564629,77.234222,Normal
129,Kailash Colony,Violet Line,"[9, 10, 27, 28]",28.554617,77.239738,Normal
130,Nehru Place,Violet Line,"[9, 10, 27, 28]",28.551134,77.251511,Normal
131,Kalkaji Mandir,Violet Line,"[9, 10, 12, 27, 28, 30]",28.549532,77.258789,Interchange
132,Govind Puri,Violet Line,"[9, 10, 27, 28]",28.544413,77.264259,Normal
133,Harkesh Nagar Okhla,Violet Line,"[9, 10, 27, 28]",28.543194,77.275955,Normal
134,Jasola-Apollo,Violet Line,"[9, 10, 27, 28]",28.538084,77.285538,Normal
135,Sarita Vihar,Violet Line,"[9, 10, 27, 28]",28.528622,77.288345,Normal
136,Mohan Estate,Violet Line,"[9, 10, 27, 28]",28.51959,77.294518,Normal
137,Tughlakabad Station,Violet Line,"[9, 10, 27, 28]",28.502232,77.29866,Normal
138,Badarpur Border,Violet Line,"[9, 10, 27, 28]",28.4932,77.30085,Terminal
139,Sarai,Violet Line,"[10, 28]",28.47794,77.304932,Normal
140,NHPC Chowk,Violet Line,"[10, 28]",28.462435,77.305252,Normal
141,Mewala Maharajpur,Violet Line,"[10, 28]",28.4485,77.308098,Normal
142,Sector-28,Violet Line,"[10, 28]",28.440586,77.305992,Normal
143,Badkal Mor,Violet Line,"[10, 28]",28.422707,77.310234,Normal
144,Old Faridabad,Violet Line,"[10, 28]",28.412172,77.311272,Normal
145,Neelam Chowk Ajronda,Violet Line,"[10, 28]",28.400707,77.309105,Normal
146,Bata Chowk,Violet Line,"[10, 28]",28.386362,77.298782,Normal
147,Escorts Mujesar,Violet Line,"[10, 28]",28.370199,77.315002,Normal
219,Sant Surdas (Sihi),Violet Line,"[10, 28]",28.354666,77.316261,Normal
220,Raja Nahar Singh,Violet Line,"[10, 28]",28.339899,77.331657,Terminal
173,Majlis Park,Pink Line,"[11, 29]",28.724157,77.182068,Terminal
41,Azadpur,Pink Line,"[2, 11, 20, 29]",28.707287,77.179863,Interchange
174,Shalimar Bagh,Pink Line,"[11, 29]",28.70182,77.165184,Normal
16,Netaji Subash Place,Pink Line,"[0, 1, 11, 18, 19, 29]",28.695637,77.152428,Interchange
175,Shakurpur,Pink Line,"[11, 29]",28.685781,77.149651,Normal
176,Punjabi Bagh West,Pink Line,"[11, 29]",28.672747,77.139183,Normal
177,ESI Basai Darapur,Pink Line,"[11, 29]",28.658159,77.127319,Normal
103,Rajouri Garden,Pink Line,"[5, 6, 11, 23, 24, 29]",28.649157,77.122749,Interchange
178,Mayapuri,Pink Line,"[11, 29]",28.637098,77.129738,Normal
179,Naraina Vihar,Pink Line,"[11, 29]",28.624121,77.136482,Normal
180,Delhi Cantt.,Pink Line,"[11, 29]",28.608641,77.140373,Normal
181,Durgabai Deshmukh South Campus,Pink Line,"[11, 29]",28.589376,77.169518,Normal
203,Sir Vishweshwaraiah Moti Bagh,Pink Line,"[11, 29]",28.578529,77.175713,Normal
204,Bhikaji Cama Place,Pink Line,"[11, 29]",28.570208,77.187866,Normal
205,Sarojini Nagar,Pink Line,"[11, 29]",28.570208,77.187866,Normal
56,Dilli Haat - INA,Pink Line,"[2, 3, 11, 20, 21, 29]",28.575195,77.209473,Interchange
206,South Extension,Pink Line,"[11, 29]",28.5686,77.219818,Normal
127,Lajpat Nagar,Pink Line,"[9, 10, 11, 27, 28, 29]",28.570705,77.233124,Interchange
221,Vinobapuri,Pink Line,"[11, 29]",28.566179,77.249367,Normal
222,Ashram,Pink Line,"[11, 29]",28.576065,77.25753,Normal
223,Sarai Kale Khan - Nizamuddin,Pink Line,"[11, 29]",28.5889,77.253189,Normal
87,Mayur Vihar-I,Pink Line,"[29, 11, 5, 23]",28.604425,77.289421,Interchange
224,Mayur Vihar Pocket 1,Pink Line,"[11, 29]",28.606598,77.296326,Normal
207,Trilokpuri Sanjay Lake,Pink Line,"[11, 29]",28.613506,77.308678,Normal
208,East Vinod Nagar - Mayur Vihar-II,Pink Line,"[11, 29]",28.620052,77.305588,Normal
209,Mandawali - West Vinod Nagar,Pink Line,"[11, 29]",28.624861,77.304146,Normal
210,IP Extension,Pink Line,"[11, 29]",28.631599,77.310898,Normal
74,Anand Vihar,Pink Line,"[24, 11, 29, 6]",28.647005,77.316185,Interchange
75,Karkarduma,Pink Line,"[24, 11, 29, 6]",28.648653,77.304581,Interchange
211,Karkarduma Court,Pink Line,"[11, 29]",28.649473,77.295341,Normal
212,Krishna Nagar,Pink Line,"[11, 29]",28.65782,77.290306,Normal
213,East Azad Nagar,Pink Line,"[11, 29]",28.665043,77.284599,Normal
5,Welcome,Pink Line,"[0, 1, 11, 18, 19, 29]",28.671986,77.277931,Interchange
214,Jafrabad,Pink Line,"[11, 29]",28.682943,77.27507,Normal
215,Maujpur - Babarpur,Pink Line,"[11, 29]",28.692057,77.280922,Normal
216,Gokulpuri,Pink Line,"[11, 29]",28.703009,77.286301,Normal
217,Johri Enclave,Pink Line,"[11, 29]",28.713297,77.290154,Normal
218,Shiv Vihar,Pink Line,"[11, 29]",28.721863,77.289635,Terminal
108,Janak Puri West,Magenta Line,"[5, 6, 12, 23, 24, 30]",28.629637,77.077866,Terminal/Interchange
195,Dabri Mor - Janakpuri South,Magenta Line,"[12, 30]",28.615904,77.085258,Normal
194,Dashrath Puri,Magenta Line,"[12, 30]",28.602333,77.08255,Normal
193,Palam,Magenta Line,"[12, 30]",28.589067,77.082954,Normal
192,Sadar Bazar Contonment,Magenta Line,"[12, 30]",28.577108,77.111305,Normal
191,Terminal 1- IGI Airport,Magenta Line,"[12, 30]",28.565275,77.122391,Normal
190,Shankar Vihar,Magenta Line,"[12, 30]",28.560787,77.140442,Normal
189,Vasant Vihar,Magenta Line,"[12, 30]",28.558378,77.160774,Normal
188,Munirka,Magenta Line,"[12, 30]",28.557821,77.174026,Normal
187,RK Puram,Magenta Line,"[12, 30]",28.550486,77.184952,Normal
186,IIT,Magenta Line,"[12, 30]",28.547194,77.193832,Normal
59,Hauz Khas,Magenta Line,"[2, 3, 12, 20, 21, 30]",28.543346,77.206673,Interchange
185,Panchsheel Park,Magenta Line,"[12, 30]",28.542339,77.220512,Normal
184,Chirag Delhi,Magenta Line,"[12, 30]",28.541229,77.229385,Normal
183,Greater Kailash,Magenta Line,"[12, 30]",28.541836,77.238243,Normal
182,Nehru Enclave,Magenta Line,"[12, 30]",28.545856,77.25116,Normal
131,Kalkaji Mandir,Magenta Line,"[9, 10, 12, 27, 28, 30]",28.549532,77.258789,Interchange
167,Okhla NSIC,Magenta Line,"[12, 30]",28.554575,77.26487,Normal
166,Sukhdev Vihar,Magenta Line,"[12, 30]",28.559887,77.275116,Normal
165,Jamia Millia Islamia,Magenta Line,"[12, 30]",28.562944,77.286209,Normal
164,Okhla Vihar,Magenta Line,"[12, 30]",28.561255,77.291916,Normal
163,Jasola Vihar Shaheen Bagh,Magenta Line,"[12, 30]",28.546005,77.296715,Normal
162,Kalindi Kunj,Magenta Line,"[12, 30]",28.542835,77.310173,Normal
161,Okhla Bird Sanctuary,Magenta Line,"[12, 30]",28.552816,77.321564,Normal
81,Botanical Garden,Magenta Line,"[12, 5, 30, 23]",28.564198,77.334656,Terminal/Interchange
113,Dwarka,Gray Line,"[5, 6, 13, 23, 24, 31]",28.614899,77.022629,Terminal/Interchange
239,Nangli,Gray Line,"[13, 31]",28.61722,77.010345,Normal
240,Najafgarh,Gray Line,"[13, 31]",28.613316,76.986259,Normal
241,Dhansa Bus Stand,Gray Line,"[13, 31]",28.611858,76.975426,Terminal
121,Dwarka Sector - 21,Orange/airport Line,"[32, 5, 6, 14, 23, 24]",28.552322,77.056198,Terminal/Interchange
154,IGI Airport,Orange/airport Line,"[32, 14]",28.554869,77.087921,Normal
155,Delhi Aerocity,Orange/airport Line,"[32, 14]",28.548792,77.120743,Normal
156,Dhaula Kuan,Orange/airport Line,"[32, 14]",28.591776,77.161545,Normal
157,Shivaji Stadium,Orange/airport Line,"[32, 14]",28.629007,77.209213,Normal
49,New Delhi,Orange/airport Line,"[32, 2, 3, 14, 20, 21]",28.642944,77.222351,Terminal/Interchange
172,Sector 55-56 (Rapid Metro),Rapid Line,"[33, 15]",28.424587,77.105042,Terminal
171,Sector 54 Chowk (Rapid Metro),Rapid Line,"[33, 15]",28.434212,77.104782,Normal
170,Sector 53-54 (Rapid Metro),Rapid Line,"[33, 15]",28.447533,77.100487,Normal
169,Sector 42-43 (Rapid Metro),Rapid Line,"[33, 15]",28.458475,77.09684,Normal
168,Phase-I (Rapid Metro),Rapid Line,"[33, 15]",28.471981,77.094009,Normal
68,Sikanderpur,Rapid Line,"[33, 2, 4, 15, 20, 22]",28.481352,77.092995,Interchange
148,Sikanderpur (Rapid Metro),Rapid Line,"[33, 15]",28.480833,77.094246,Normal
149,Phase 2 (Rapid Metro),Rapid Line,"[33, 15]",28.488371,77.092865,Normal
150,Belvedere Towers (Rapid Metro),Rapid Line,"[33, 15]",28.492065,77.088142,Normal
151,Cyber City (Rapid Metro),Rapid Line,"[33, 15]",28.498478,77.089088,Normal
152,Moulsari Avenue (Rapid Metro),Rapid Line,"[33, 15]",28.501572,77.094536,Normal
153,Phase 3 (Rapid Metro),Rapid Line,"[33, 15]",28.494329,77.093552,Terminal
500,Noida Sector 51,Aqua Line,"[16, 34]",28.585548,77.375374,Terminal
501,Noida Sector 50,Aqua Line,"[16, 34]",28.574547,77.378357,Normal
502,Noida Sector 76,Aqua Line,"[16, 34]",28.565445,77.37973,Normal
503,Noida Sector 101,Aqua Line,"[16, 34]",28.556065,77.385056,Normal
504,Noida Sector 81,Aqua Line,"[16, 34]",28.549259,77.390099,Normal
505,NSEZ,Aqua Line,"[16, 34]",28.532248,77.394951,Normal
506,Noida Sector 83,Aqua Line,"[16, 34]",28.522284,77.396477,Normal
507,Noida Sector 137,Aqua Line,"[16, 34]",28.510817,77.403625,Normal
508,Noida Sector 142,Aqua Line,"[16, 17, 34, 35]",28.498999,77.412567,Terminal
509,Noida Sector 143,Aqua Line,"[17, 35]",28.494246,77.422318,Normal
510,Noida Sector 144,Aqua Line,"[17, 35]",28.486376,77.432968,Normal
511,Noida Sector 145,Aqua Line,"[17, 35]",28.47913,77.442307,Normal
512,Noida Sector 146,Aqua Line,"[17, 35]",28.468822,77.455101,Normal
513,Noida Sector 147,Aqua Line,"[17, 35]",28.4594,77.465965,Normal
514,Noida Sector 148,Aqua Line,"[17, 35]",28.448021,77.476692,Normal
515,Knowledge Park,Aqua Line,"[17, 35]",28.456865,77.500298,Normal
516,Pari Chowk,Aqua Line,"[17, 35]",28.463331,77.508308,Normal
517,Alpha 1,Aqua Line,"[17, 35]",28.470879,77.512718,Normal
518,Delta 1,Aqua Line,"[17, 35]",28.478374,77.525581,Normal
519,GNIDA Office,Aqua Line,"[17, 35]",28.484531,77.536621,Normal
520,Depot Station,Aqua Line,"[17, 35]",28.488651,77.544075,Terminal
