Station Name,Metro Line,Opened,Station Layout,Platform Layout
Panchsheel Park,Magenta Line,29 May 2018,Underground,Island
Pandit Shree Ram Sharma,Green Line,24 June 2018,Elevated,Side
Paschim Vihar East,Green Line,2 April 2010,Elevated,Side
Paschim Vihar West,Green Line,2 April 2010,Elevated,Side
Patel Chowk,Yellow Line,3 July 2005,Underground,Island
Patel Nagar,Blue Line,30 December 2005,Elevated,Side
Peeragarhi,Green Line,2 April 2010,Elevated,Side
Pitampura,Red Line,31 March 2004,Elevated,Side
Pratap Nagar,Red Line,3 October 2003,Elevated,Side
Preet Vihar,Blue Line,6 January 2010,Elevated,Side
Pul Bangash,Red Line,3 October 2003,Elevated,Side
Punjabi Bagh,Green Line,2 April 2010,Elevated,Side
Punjabi Bagh West,Pink Line,14 March 2018,Elevated,Side
Punjabi Bagh West,Green Line,2 April 2010,Elevated,Side
Qutab Minar,Yellow Line,21 June 2010,Elevated,Side
R. K. Puram,Magenta Line,29 May 2018,Underground,Island
Raja Nahar Singh,Violet Line,19 November 2018,Elevated,Side
Raj Bagh,Red Line,8 March 2019,Elevated,Side
Rajdhani Park,Green Line,2 April 2010,Elevated,Side
Rajendra Place,Blue Line,30 December 2005,Elevated,Side
Rajiv Chowk,Yellow Line,3 July 2005,Underground,Island
Rajiv Chowk,Blue Line,30 December 2005,Underground,Side
Rajouri Garden,Blue Line,30 December 2005,Elevated,Side
Rajouri Garden,Pink Line,14 March 2018,Elevated,Side
Ramakrishna Ashram Marg,Blue Line,30 December 2005,Elevated,Side
Ramesh Nagar,Blue Line,30 December 2005,Elevated,Side
Rithala,Red Line,31 March 2004,Elevated,Side
Rohini East,Red Line,31 March 2004,Elevated,Side
"Rohini Sector 18, 19",Yellow Line,10 November 2015,Elevated,Side
Rohini West,Red Line,31 March 2004,Elevated,Side
Sadar Bazaar Cantonment,Magenta Line,29 May 2018,Elevated,Side
Saket,Yellow Line,3 September 2010,Underground,Island
Samaypur Badli,Yellow Line,10 November 2015,Elevated,Side
Sant Surdas (Sihi),Violet Line,19 November 2018,Elevated,Side
Sarai,Violet Line,6 September 2015,Elevated,Side
Sarai Kale Khan - Nizamuddin,Pink Line,31 December 2018,Underground,Island
Sarita Vihar,Violet Line,3 October 2010,Elevated,Side
Sarojini Nagar,Pink Line,6 August 2018,Underground,Island
Satguru Ram Singh Marg,Green Line,27 August 2011,Elevated,Side
Sector 28,Violet Line,6 September 2015,Elevated,Side
Seelampur,Red Line,24 December 2002,At Grade,Island
Shadipur,Blue Line,30 December 2005,Elevated,Side
Shahdara,Red Line,24 December 2002,At Grade,Side
Shaheed Nagar,Red Line,8 March 2019,Elevated,Side
Shaheed Sthal,Red Line,8 March 2019,Elevated,Side
Shakurpur,Pink Line,14 March 2018,Elevated,Island
Shalimar Bagh,Pink Line,14 March 2018,Underground,Island
Shankar Vihar,Magenta Line,29 May 2018,Elevated,Side
Shastri Nagar,Red Line,3 October 2003,Elevated,Side
Shastri Park,Red Line,24 December 2002,At Grade,Side
Shiv Vihar,Pink Line,31 October 2018,Elevated,Side
Shivaji Park,Green Line,2 April 2010,Elevated,Side
Shivaji Stadium,Airport Express,23 February 2011,Underground,Island
Shyam Park,Red Line,8 March 2019,Elevated,Side
Sikanderpur,Yellow Line,21 June 2010,Elevated,Side
Sir M. Vishweshwaraiah Moti Bagh,Pink Line,6 August 2018,Elevated,Side
South Extension,Pink Line,6 August 2018,Underground,Island
Subhash Nagar,Blue Line,30 December 2005,Elevated,Side
Sukhdev Vihar,Magenta Line,25 December 2017,Elevated,Side
Sultanpur,Yellow Line,21 June 2010,Elevated,Side
Supreme Court,Blue Line,11 November 2006,Elevated,Side
Tagore Garden,Blue Line,30 December 2005,Elevated,Side
Terminal 1-IGI Airport,Magenta Line,29 May 2018,Underground,Island
Tikri Border,Green Line,24 June 2018,Elevated,Side
Tikri Kalan,Green Line,24 June 2018,Elevated,Side
Tilak Nagar,Blue Line,30 December 2005,Elevated,Side
Tis Hazari,Red Line,24 December 2002,Elevated,Side
Trilokpuri Sanjay Lake,Pink Line,31 October 2018,Elevated,Side
Tughlakabad Station,Violet Line,14 January 2011,Elevated,Side
Udyog Bhawan,Yellow Line,3 September 2010,Underground,Island
Udyog Nagar,Green Line,2 April 2010,Elevated,Side
Uttam Nagar East,Blue Line,30 December 2005,Elevated,Side
Uttam Nagar West,Blue Line,30 December 2005,Elevated,Side
Vaishali,Blue Line,14 July 2011,Elevated,Side
Vasant Vihar,Magenta Line,29 May 2018,Underground,Island
Vidhan Sabha,Yellow Line,20 December 2004,Underground,Side
Vinobapuri,Pink Line,31 December 2018,Underground,Island
Vishwa Vidyalaya,Yellow Line,20 December 2004,Underground,Side
Welcome,Red Line,24 December 2002,At Grade,Island
Welcome,Pink Line,31 October 2018,Elevated,Side
Yamuna Bank,Blue Line,10 May 2009,At-Grade,Island
Yamuna Bank,Blue Line,6 January 2010,At-Grade,Side
Yashobhoomi Dwarka Sector - 25,Airport Express,17 September 2023,Underground,Island
