route_id,service_type,trip_id,shape_id
20,1,10373,shp_1_31
20,1,10374,shp_1_31
20,1,10375,shp_1_31
20,1,10376,shp_1_31
20,1,10377,shp_1_31
20,1,10378,shp_1_31
20,1,10379,shp_1_31
2,1,1038,shp_1_13
20,1,10380,shp_1_31
20,1,10381,shp_1_31
20,1,10382,shp_1_31
2,1,1039,shp_1_13
0,1,104,shp_1_30
2,1,1040,shp_1_13
2,1,1041,shp_1_13
2,1,1042,shp_1_13
2,1,1043,shp_1_13
2,1,1044,shp_1_13
2,1,1045,shp_1_13
2,1,1046,shp_1_13
2,1,1047,shp_1_13
2,1,1048,shp_1_13
2,1,1049,shp_1_13
0,1,105,shp_1_30
2,1,1050,shp_1_13
2,1,1051,shp_1_13
2,1,1052,shp_1_13
2,1,1053,shp_1_13
2,1,1054,shp_1_13
2,1,1055,shp_1_13
2,1,1056,shp_1_13
2,1,1057,shp_1_13
2,1,1058,shp_1_13
2,1,1059,shp_1_13
0,1,106,shp_1_30
0,1,107,shp_1_30
21,1,10736,shp_1_34
21,1,10737,shp_1_34
21,1,10738,shp_1_34
21,1,10739,shp_1_34
21,1,10740,shp_1_34
21,1,10741,shp_1_34
21,1,10742,shp_1_34
21,1,10743,shp_1_34
21,1,10744,shp_1_34
21,1,10745,shp_1_34
21,1,10746,shp_1_34
21,1,10747,shp_1_34
21,1,10748,shp_1_34
21,1,10749,shp_1_34
21,1,10750,shp_1_34
21,1,10751,shp_1_34
21,1,10752,shp_1_34
21,1,10753,shp_1_34
21,1,10754,shp_1_34
21,1,10755,shp_1_34
21,1,10756,shp_1_34
21,1,10757,shp_1_34
21,1,10758,shp_1_34
21,1,10759,shp_1_34
21,1,10760,shp_1_34
21,1,10761,shp_1_34
21,1,10762,shp_1_34
21,1,10763,shp_1_34
21,1,10764,shp_1_34
21,1,10765,shp_1_34
21,1,10766,shp_1_34
21,1,10767,shp_1_34
21,1,10768,shp_1_34
21,1,10769,shp_1_34
21,1,10770,shp_1_34
21,1,10771,shp_1_34
21,1,10772,shp_1_34
21,1,10773,shp_1_34
21,1,10774,shp_1_34
21,1,10775,shp_1_34
21,1,10776,shp_1_34
21,1,10777,shp_1_34
21,1,10778,shp_1_34
21,1,10779,shp_1_34
21,1,10780,shp_1_34
21,1,10781,shp_1_34
21,1,10782,shp_1_34
21,1,10783,shp_1_34
21,1,10784,shp_1_34
21,1,10785,shp_1_34
21,1,10786,shp_1_34
21,1,10787,shp_1_34
21,1,10788,shp_1_34
21,1,10789,shp_1_34
21,1,10790,shp_1_34
21,1,10791,shp_1_34
21,1,10792,shp_1_34
21,1,10793,shp_1_34
21,1,10794,shp_1_34
21,1,10795,shp_1_34
21,1,10796,shp_1_34
21,1,10797,shp_1_34
21,1,10798,shp_1_34
21,1,10799,shp_1_34
0,1,108,shp_1_30
21,1,10800,shp_1_34
21,1,10801,shp_1_34
21,1,10802,shp_1_34
21,1,10803,shp_1_34
21,1,10804,shp_1_34
21,1,10805,shp_1_34
21,1,10806,shp_1_34
21,1,10807,shp_1_34
21,1,10808,shp_1_34
21,1,10809,shp_1_34
21,1,10810,shp_1_34
21,1,10811,shp_1_34
21,1,10812,shp_1_34
21,1,10813,shp_1_34
21,1,10814,shp_1_34
21,1,10815,shp_1_34
21,1,10816,shp_1_34
21,1,10817,shp_1_34
21,1,10818,shp_1_34
21,1,10819,shp_1_34
21,1,10820,shp_1_34
21,1,10821,shp_1_34
21,1,10822,shp_1_34
21,1,10823,shp_1_34
21,1,10824,shp_1_34
21,1,10825,shp_1_34
21,1,10826,shp_1_34
21,1,10827,shp_1_34
21,1,10828,shp_1_34
21,1,10829,shp_1_34
21,1,10830,shp_1_34
21,1,10831,shp_1_34
21,1,10832,shp_1_34
21,1,10833,shp_1_34
